NN7 MK20
1.00000000 0.00000000
0.99893000 0.00029000
0.99572000 0.00115000
0.99039000 0.00258000
0.98296000 0.00456000
0.97347000 0.00704000
0.96194000 0.00994000
0.94844000 0.01323000
0.93301000 0.01691000
0.91573000 0.02105000
0.89668000 0.02573000
0.87592000 0.03093000
0.85355000 0.03654000
0.82967000 0.04241000
0.80438000 0.04851000
0.77779000 0.05490000
0.75000000 0.06159000
0.72114000 0.06846000
0.69134000 0.07531000
0.66072000 0.08198000
0.62941000 0.08834000
0.59755000 0.09426000
0.56526000 0.09960000
0.53270000 0.10420000
0.50000000 0.10792000
0.46730000 0.11068000
0.43474000 0.11249000
0.40245000 0.11342000
0.37059000 0.11346000
0.33928000 0.11260000
0.30866000 0.11080000
0.27886000 0.10810000
0.25000000 0.10456000
0.22221000 0.10033000
0.19562000 0.09549000
0.17033000 0.09012000
0.14645000 0.08422000
0.12408000 0.07784000
0.10332000 0.07102000
0.08427000 0.06385000
0.06699000 0.05642000
0.05156000 0.04890000
0.03806000 0.04133000
0.02653000 0.03369000
0.01704000 0.02605000
0.00961000 0.01834000
0.00428000 0.01100000
0.00107000 0.00487000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00401000
0.00428000 -0.00792000
0.00961000 -0.01202000
0.01704000 -0.01595000
0.02653000 -0.01978000
0.03806000 -0.02366000
0.05156000 -0.02752000
0.06699000 -0.03122000
0.08427000 -0.03465000
0.10332000 -0.03790000
0.12408000 -0.04112000
0.14645000 -0.04428000
0.17033000 -0.04716000
0.19562000 -0.04957000
0.22221000 -0.05152000
0.25000000 -0.05310000
0.27886000 -0.05437000
0.30866000 -0.05521000
0.33928000 -0.05546000
0.37059000 -0.05511000
0.40245000 -0.05427000
0.43474000 -0.05291000
0.46730000 -0.05084000
0.50000000 -0.04786000
0.53270000 -0.04390000
0.56526000 -0.03908000
0.59755000 -0.03361000
0.62941000 -0.02771000
0.66072000 -0.02161000
0.69134000 -0.01558000
0.72114000 -0.00996000
0.75000000 -0.00515000
0.77779000 -0.00145000
0.80438000 0.00109000
0.82967000 0.00264000
0.85355000 0.00340000
0.87592000 0.00357000
0.89668000 0.00331000
0.91573000 0.00283000
0.93301000 0.00232000
0.94844000 0.00186000
0.96194000 0.00146000
0.97347000 0.00107000
0.98296000 0.00071000
0.99039000 0.00040000
0.99572000 0.00018000
0.99893000 0.00004000
1.00000000 0.00000000
