OAF102 AIRFOIL
1.00000000 0.00495000
0.99901300 0.00507200
0.99605700 0.00544300
0.99114400 0.00608100
0.98429200 0.00701300
0.97552800 0.00826800
0.96488800 0.00987300
0.95241400 0.01184800
0.93815300 0.01419800
0.92216400 0.01691700
0.90450800 0.01998400
0.88525700 0.02336400
0.86448400 0.02701500
0.84227400 0.03089000
0.81871200 0.03494200
0.79389300 0.03912400
0.76791300 0.04339700
0.74087700 0.04771700
0.71289000 0.05204400
0.68406200 0.05632600
0.65450800 0.06050200
0.62434500 0.06449400
0.59369100 0.06821000
0.56266700 0.07154900
0.53139500 0.07440900
0.50000000 0.07670600
0.46860500 0.07839600
0.43733300 0.07949400
0.40630900 0.08010200
0.37565500 0.07999600
0.34549200 0.07928700
0.31593800 0.07798200
0.28711000 0.07608400
0.25912300 0.07364100
0.23208700 0.07072000
0.20610700 0.06738500
0.18128800 0.06369700
0.15772600 0.05971200
0.13551600 0.05547900
0.11474300 0.05105100
0.09549200 0.04648000
0.07783600 0.04181500
0.06184700 0.03710400
0.04758600 0.03238600
0.03511200 0.02768700
0.02447200 0.02302300
0.01570800 0.01839400
0.00885600 0.01379100
0.00394300 0.00920000
0.00098700 0.00460600
0.00000000 0.00000000
0.00000000 0.00000000
0.00098700 -0.00413900
0.00394300 -0.00818100
0.00885600 -0.01207500
0.01570800 -0.01576100
0.02447200 -0.01919100
0.03511200 -0.02233100
0.04758600 -0.02515400
0.06184700 -0.02761500
0.07783600 -0.02965200
0.09549200 -0.03120800
0.11474300 -0.03227300
0.13551600 -0.03284600
0.15772600 -0.03289800
0.18128800 -0.03225400
0.20610700 -0.03122400
0.23208700 -0.02977500
0.25912300 -0.02790100
0.28711000 -0.02562300
0.31593800 -0.02298700
0.34549200 -0.02006300
0.37565500 -0.01694000
0.40630900 -0.01371900
0.43733300 -0.01050300
0.46860500 -0.00739100
0.50000000 -0.00447300
0.53139500 -0.00181800
0.56266700 0.00052400
0.59369100 0.00252300
0.62434500 0.00417100
0.65450800 0.00547700
0.68406200 0.00646100
0.71289000 0.00715100
0.74087700 0.00757600
0.76791300 0.00776300
0.79389300 0.00773300
0.81871200 0.00750100
0.84227400 0.00707700
0.86448400 0.00646600
0.88525700 0.00567700
0.90450800 0.00471900
0.92216400 0.00361400
0.93815300 0.00239100
0.95241400 0.00109200
0.96488800 -0.00022800
0.97552800 -0.00150700
0.98429200 -0.00267600
0.99114400 -0.00367100
0.99605700 -0.00443000
0.99901300 -0.00490600
1.00000000 -0.00506800
