PMC19 Smoothed
1.00000000 0.00106000
0.99754000 0.00135000
0.99070000 0.00200000
0.98037000 0.00269000
0.96698000 0.00336000
0.95044000 0.00411000
0.93064000 0.00508000
0.90775000 0.00638000
0.88202000 0.00806000
0.85370000 0.01017000
0.82309000 0.01271000
0.79048000 0.01567000
0.75616000 0.01902000
0.72043000 0.02269000
0.68359000 0.02661000
0.64594000 0.03069000
0.60778000 0.03487000
0.56937000 0.03903000
0.53099000 0.04312000
0.49265000 0.04705000
0.45435000 0.05076000
0.41638000 0.05417000
0.37887000 0.05718000
0.34204000 0.05970000
0.30609000 0.06162000
0.27120000 0.06282000
0.23760000 0.06316000
0.20549000 0.06248000
0.17504000 0.06060000
0.14648000 0.05742000
0.11999000 0.05299000
0.09576000 0.04750000
0.07395000 0.04112000
0.05468000 0.03418000
0.03811000 0.02728000
0.02433000 0.02086000
0.01338000 0.01487000
0.00548000 0.00916000
0.00098000 0.00370000
0.00000000 0.00000000
0.00000000 0.00000000
0.00098000 -0.00332000
0.00548000 -0.00702000
0.01338000 -0.00948000
0.02433000 -0.01078000
0.03811000 -0.01140000
0.05468000 -0.01187000
0.07395000 -0.01238000
0.09576000 -0.01307000
0.11999000 -0.01412000
0.14648000 -0.01569000
0.17504000 -0.01789000
0.20549000 -0.02062000
0.23760000 -0.02364000
0.27120000 -0.02672000
0.30609000 -0.02966000
0.34204000 -0.03224000
0.37887000 -0.03429000
0.41638000 -0.03565000
0.45435000 -0.03621000
0.49265000 -0.03599000
0.53099000 -0.03503000
0.56937000 -0.03344000
0.60778000 -0.03127000
0.64594000 -0.02861000
0.68359000 -0.02559000
0.72043000 -0.02231000
0.75616000 -0.01892000
0.79048000 -0.01556000
0.82309000 -0.01240000
0.85370000 -0.00958000
0.88202000 -0.00718000
0.90775000 -0.00525000
0.93064000 -0.00379000
0.95044000 -0.00286000
0.96698000 -0.00244000
0.98037000 -0.00221000
0.99070000 -0.00181000
0.99754000 -0.00123000
1.00000000 -0.00092000
