R140 (original)
1.00000000 0.00000000
0.97241000 0.00414000
0.94482000 0.00760000
0.91826000 0.01182000
0.88965000 0.01565000
0.86206000 0.02015000
0.83448000 0.02416000
0.80689000 0.02709000
0.77931000 0.03140000
0.75172000 0.03485000
0.72413000 0.03795000
0.69696000 0.04130000
0.66957000 0.04435000
0.64174000 0.04761000
0.61391000 0.05075000
0.58783000 0.05308000
0.56174000 0.05565000
0.53304000 0.05826000
0.50435000 0.06070000
0.47913000 0.06174000
0.45217000 0.06313000
0.42261000 0.06456000
0.39304000 0.06428000
0.36696000 0.06450000
0.34087000 0.06378000
0.31035000 0.06266000
0.28275000 0.06067000
0.25517000 0.05880000
0.22759000 0.05659000
0.20000000 0.05328000
0.17783000 0.05087000
0.16087000 0.04870000
0.14435000 0.04613000
0.13103000 0.04334000
0.11724000 0.04072000
0.10345000 0.03830000
0.08965000 0.03512000
0.07586000 0.03224000
0.06207000 0.02899000
0.04826000 0.02512000
0.03448000 0.02098000
0.02759000 0.01835000
0.02069000 0.01546000
0.01379000 0.01208000
0.00690000 0.00760000
0.00348000 0.00414000
0.00000000 0.00000000
0.00000000 0.00000000
0.00348000 -0.00415000
0.00690000 -0.00760000
0.01379000 -0.01160000
0.02069000 -0.01491000
0.02759000 -0.01753000
0.03448000 -0.01933000
0.04826000 -0.02278000
0.06261000 -0.02609000
0.07652000 -0.02957000
0.09043000 -0.03131000
0.10348000 -0.03391000
0.11739000 -0.03565000
0.13304000 -0.03826000
0.14696000 -0.04000000
0.16174000 -0.04174000
0.17696000 -0.04304000
0.20000000 -0.04570000
0.22759000 -0.04845000
0.25517000 -0.05107000
0.28522000 -0.05304000
0.31035000 -0.05397000
0.33793000 -0.05498000
0.36552000 -0.05529000
0.39310000 -0.05572000
0.42068000 -0.05526000
0.44827000 -0.05471000
0.47586000 -0.05384000
0.50344000 -0.05255000
0.53043000 -0.05130000
0.55862000 -0.04936000
0.58621000 -0.04695000
0.61379000 -0.04454000
0.64130000 -0.04174000
0.66913000 -0.03913000
0.69655000 -0.03668000
0.72431000 -0.03451000
0.75172000 -0.03134000
0.77931000 -0.02831000
0.80870000 -0.02435000
0.83448000 -0.02139000
0.86206000 -0.01781000
0.88870000 -0.01470000
0.91724000 -0.01128000
0.94482000 -0.00760000
0.97241000 -0.00415000
1.00000000 0.00000000
