SARATOV AIRFOIL
1.00000000 0.00000000
0.90000000 0.02850000
0.80000000 0.05500000
0.70000000 0.07750000
0.60000000 0.09700000
0.50000000 0.11350000
0.40000000 0.12500000
0.30000000 0.11750000
0.20000000 0.09700000
0.15000000 0.08275000
0.10000000 0.06750000
0.05000000 0.04625000
0.02500000 0.03063000
0.01250000 0.02031000
0.00000000 0.00000000
0.00000000 0.00000000
0.01250000 -0.01469000
0.02500000 -0.01938000
0.05000000 -0.02175000
0.10000000 -0.02050000
0.15000000 -0.00925000
0.20000000 0.00500000
0.30000000 0.03550000
0.40000000 0.07000000
0.50000000 0.06250000
0.60000000 0.05000000
0.70000000 0.03750000
0.80000000 0.02500000
0.90000000 0.01250000
1.00000000 0.00000000
