SOKOLOV AIRFOIL
1.00000000 0.00700000
0.95000000 0.01855000
0.90000000 0.03010000
0.80000000 0.04920000
0.70000000 0.06630000
0.60000000 0.08040000
0.50000000 0.09050000
0.40000000 0.09560000
0.30000000 0.09220000
0.25000000 0.08825000
0.20000000 0.08180000
0.15000000 0.07085000
0.10000000 0.05840000
0.07500000 0.04968000
0.05000000 0.03895000
0.02500000 0.02523000
0.01250000 0.01611000
0.00000000 0.00000000
0.00000000 0.00000000
0.01250000 -0.00789000
0.02500000 -0.00877000
0.05000000 -0.00705000
0.07500000 -0.00533000
0.10000000 -0.00110000
0.15000000 0.00535000
0.20000000 0.01130000
0.25000000 0.01725000
0.30000000 0.02270000
0.40000000 0.03260000
0.50000000 0.03850000
0.60000000 0.03840000
0.70000000 0.03430000
0.80000000 0.02520000
0.90000000 0.01410000
0.95000000 0.00705000
1.00000000 0.00000000
