STRAND AIRFOIL
1.00000000 0.00000000
0.95400000 0.00310000
0.89490000 0.00820000
0.79010000 0.02030000
0.69780000 0.03410000
0.59810000 0.05240000
0.51860000 0.06900000
0.43950000 0.08680000
0.41000000 0.09430000
0.38050000 0.10180000
0.32140000 0.11600000
0.26070000 0.11670000
0.20030000 0.10930000
0.16070000 0.10050000
0.10300000 0.08150000
0.04880000 0.05410000
0.01980000 0.03200000
0.01140000 0.02320000
0.00440000 0.01330000
0.00000000 0.00000000
0.00000000 0.00000000
0.00480000 -0.01520000
0.01060000 -0.02080000
0.02400000 -0.02370000
0.04590000 -0.02730000
0.10690000 -0.03660000
0.16520000 -0.03990000
0.20900000 -0.03970000
0.26320000 -0.03770000
0.31930000 -0.03440000
0.39720000 -0.02810000
0.41710000 -0.02630000
0.43740000 -0.02430000
0.52000000 -0.01640000
0.60440000 -0.00890000
0.69140000 -0.00270000
0.78000000 0.00230000
0.89170000 0.00420000
0.95790000 0.00260000
1.00000000 0.00000000
