UAG 88-143/20
1.00000000 0.00002000
0.99893000 0.00053000
0.99572000 0.00196000
0.99039000 0.00403000
0.98296000 0.00660000
0.97347000 0.00967000
0.96194000 0.01327000
0.94844000 0.01742000
0.93301000 0.02218000
0.91573000 0.02756000
0.89668000 0.03360000
0.87592000 0.04036000
0.85355000 0.04794000
0.82967000 0.05651000
0.80438000 0.06628000
0.77779000 0.07682000
0.75000000 0.08719000
0.72114000 0.09659000
0.69134000 0.10480000
0.66072000 0.11193000
0.62941000 0.11801000
0.59755000 0.12305000
0.56526000 0.12706000
0.53270000 0.13006000
0.50000000 0.13208000
0.46730000 0.13318000
0.43474000 0.13338000
0.40245000 0.13272000
0.37059000 0.13122000
0.33928000 0.12892000
0.30866000 0.12584000
0.27886000 0.12201000
0.25000000 0.11747000
0.22221000 0.11226000
0.19562000 0.10642000
0.17033000 0.09998000
0.14645000 0.09301000
0.12408000 0.08557000
0.10332000 0.07774000
0.08427000 0.06961000
0.06699000 0.06128000
0.05156000 0.05288000
0.03806000 0.04454000
0.02653000 0.03633000
0.01704000 0.02829000
0.00961000 0.02053000
0.00428000 0.01343000
0.00107000 0.00789000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00090000
0.00428000 -0.00398000
0.00961000 -0.00690000
0.01704000 -0.00956000
0.02653000 -0.01170000
0.03806000 -0.01312000
0.05156000 -0.01405000
0.06699000 -0.01467000
0.08427000 -0.01503000
0.10332000 -0.01518000
0.12408000 -0.01515000
0.14645000 -0.01494000
0.17033000 -0.01456000
0.19562000 -0.01405000
0.22221000 -0.01349000
0.25000000 -0.01294000
0.27886000 -0.01241000
0.30866000 -0.01188000
0.33928000 -0.01134000
0.37059000 -0.01080000
0.40245000 -0.01024000
0.43474000 -0.00968000
0.46730000 -0.00912000
0.50000000 -0.00855000
0.53270000 -0.00798000
0.56526000 -0.00741000
0.59755000 -0.00684000
0.62941000 -0.00628000
0.66072000 -0.00573000
0.69134000 -0.00519000
0.72114000 -0.00466000
0.75000000 -0.00415000
0.77779000 -0.00366000
0.80438000 -0.00319000
0.82967000 -0.00275000
0.85355000 -0.00233000
0.87592000 -0.00194000
0.89668000 -0.00157000
0.91573000 -0.00124000
0.93301000 -0.00094000
0.94844000 -0.00067000
0.96194000 -0.00044000
0.97347000 -0.00022000
0.98296000 -0.00004000
0.99039000 0.00006000
0.99572000 0.00009000
0.99893000 0.00008000
1.00000000 0.00002000
