UAG92 170/SF
1.00000000 0.00000000
0.99707000 0.00104000
0.98831000 0.00293000
0.97383000 0.00543000
0.95379000 0.00855000
0.92843000 0.01250000
0.89805000 0.01754000
0.86300000 0.02275000
0.82369000 0.03655000
0.78059000 0.05516000
0.73420000 0.07329000
0.68507000 0.08831000
0.63376000 0.10065000
0.58089000 0.11010000
0.52707000 0.11665000
0.47293000 0.12056000
0.41911000 0.12198000
0.36623000 0.12104000
0.31493000 0.11783000
0.26579000 0.11254000
0.21941000 0.10530000
0.17631000 0.09620000
0.13700000 0.08552000
0.10195000 0.07360000
0.07157000 0.06078000
0.04621000 0.04763000
0.02617000 0.03464000
0.01169000 0.02189000
0.00293000 0.01007000
0.00000000 0.00000000
0.00000000 0.00000000
0.00293000 -0.00711000
0.01169000 -0.01272000
0.02617000 -0.01855000
0.04621000 -0.02360000
0.07157000 -0.02807000
0.10195000 -0.03212000
0.13700000 -0.03584000
0.17631000 -0.03870000
0.21941000 -0.04112000
0.26579000 -0.04344000
0.31493000 -0.04523000
0.36623000 -0.04662000
0.41911000 -0.04783000
0.47293000 -0.04869000
0.52707000 -0.04901000
0.58089000 -0.04877000
0.63376000 -0.04799000
0.68507000 -0.04628000
0.73420000 -0.04255000
0.78059000 -0.03653000
0.82369000 -0.03000000
0.86300000 -0.02327000
0.89805000 -0.01426000
0.92843000 -0.00795000
0.95379000 -0.00393000
0.97383000 -0.00156000
0.98831000 -0.00041000
0.99707000 -0.00001000
1.00000000 0.00000000
