USNPS4 (smoothed)
1.00000000 0.00373300
0.99754000 0.00484000
0.99070000 0.00789400
0.98037000 0.01224000
0.96698000 0.01746500
0.95044000 0.02339300
0.93064000 0.02987700
0.90775000 0.03670700
0.88202000 0.04370600
0.85370000 0.05073300
0.82309000 0.05766600
0.79048000 0.06442100
0.75616000 0.07093000
0.72043000 0.07711100
0.68359000 0.08290000
0.64594000 0.08824000
0.60778000 0.09306800
0.56937000 0.09733900
0.53099000 0.10101600
0.49265000 0.10408700
0.45435000 0.10653000
0.41638000 0.10830600
0.37887000 0.10938500
0.34204000 0.10972500
0.30609000 0.10928100
0.27120000 0.10800000
0.23760000 0.10581700
0.20549000 0.10265500
0.17504000 0.09843100
0.14648000 0.09306200
0.11999000 0.08646100
0.09576000 0.07856600
0.07395000 0.06935200
0.05468000 0.05893800
0.03811000 0.04776200
0.02433000 0.03636900
0.01338000 0.02524600
0.00548000 0.01486000
0.00098000 0.00566300
0.00000000 0.00000000
0.00000000 0.00000000
0.00098000 -0.00466800
0.00548000 -0.00948200
0.01338000 -0.01254600
0.02433000 -0.01411400
0.03811000 -0.01457000
0.05468000 -0.01431300
0.07395000 -0.01370100
0.09576000 -0.01302500
0.11999000 -0.01240500
0.14648000 -0.01186300
0.17504000 -0.01139700
0.20549000 -0.01099300
0.23760000 -0.01063600
0.27120000 -0.01030900
0.30609000 -0.00999900
0.34204000 -0.00969300
0.37887000 -0.00938500
0.41638000 -0.00907000
0.45435000 -0.00874600
0.49265000 -0.00841200
0.53099000 -0.00807300
0.56937000 -0.00772800
0.60778000 -0.00738100
0.64594000 -0.00703600
0.68359000 -0.00669600
0.72043000 -0.00636500
0.75616000 -0.00604700
0.79048000 -0.00574500
0.82309000 -0.00546200
0.85370000 -0.00520200
0.88202000 -0.00496500
0.90775000 -0.00475500
0.93064000 -0.00457100
0.95044000 -0.00441500
0.96698000 -0.00428600
0.98037000 -0.00418100
0.99070000 -0.00409900
0.99754000 -0.00404300
1.00000000 -0.00402300
