WASP (smoothed)
1.00000000 0.00049000
0.99754000 0.00174000
0.99070000 0.00434000
0.98037000 0.00674000
0.96698000 0.00873000
0.95044000 0.01102000
0.93064000 0.01415000
0.90775000 0.01796000
0.88202000 0.02215000
0.85370000 0.02658000
0.82309000 0.03113000
0.79048000 0.03576000
0.75616000 0.04043000
0.72043000 0.04509000
0.68359000 0.04965000
0.64594000 0.05404000
0.60778000 0.05817000
0.56937000 0.06196000
0.53099000 0.06537000
0.49265000 0.06838000
0.45435000 0.07097000
0.41638000 0.07307000
0.37887000 0.07463000
0.34204000 0.07556000
0.30609000 0.07579000
0.27120000 0.07524000
0.23760000 0.07387000
0.20549000 0.07164000
0.17504000 0.06855000
0.14648000 0.06461000
0.11999000 0.05986000
0.09576000 0.05430000
0.07395000 0.04792000
0.05468000 0.04082000
0.03811000 0.03330000
0.02433000 0.02570000
0.01338000 0.01821000
0.00548000 0.01102000
0.00098000 0.00437000
0.00000000 0.00000000
0.00000000 0.00000000
0.00098000 -0.00392000
0.00548000 -0.00855000
0.01338000 -0.01231000
0.02433000 -0.01528000
0.03811000 -0.01757000
0.05468000 -0.01931000
0.07395000 -0.02052000
0.09576000 -0.02125000
0.11999000 -0.02155000
0.14648000 -0.02147000
0.17504000 -0.02105000
0.20549000 -0.02035000
0.23760000 -0.01942000
0.27120000 -0.01830000
0.30609000 -0.01704000
0.34204000 -0.01566000
0.37887000 -0.01420000
0.41638000 -0.01267000
0.45435000 -0.01112000
0.49265000 -0.00960000
0.53099000 -0.00814000
0.56937000 -0.00681000
0.60778000 -0.00562000
0.64594000 -0.00461000
0.68359000 -0.00378000
0.72043000 -0.00311000
0.75616000 -0.00257000
0.79048000 -0.00216000
0.82309000 -0.00189000
0.85370000 -0.00178000
0.88202000 -0.00181000
0.90775000 -0.00195000
0.93064000 -0.00216000
0.95044000 -0.00249000
0.96698000 -0.00281000
0.98037000 -0.00271000
0.99070000 -0.00183000
0.99754000 -0.00046000
1.00000000 0.00026000
