USA-35B AIRFOIL
1.00000000 -0.02510000
0.95000000 -0.01260000
0.90000000 -0.00040000
0.80000000 0.02260000
0.70000000 0.04320000
0.60000000 0.06050000
0.50000000 0.07570000
0.40000000 0.08660000
0.30000000 0.09000000
0.20000000 0.08520000
0.15000000 0.07800000
0.10000000 0.06690000
0.07500000 0.05890000
0.05000000 0.04760000
0.02500000 0.03350000
0.01250000 0.02390000
0.00000000 0.00000000
0.00000000 0.00000000
0.01250000 -0.01730000
0.02500000 -0.02130000
0.05000000 -0.02480000
0.07500000 -0.02620000
0.10000000 -0.02690000
0.15000000 -0.02760000
0.20000000 -0.02700000
0.30000000 -0.02610000
0.40000000 -0.02500000
0.50000000 -0.02370000
0.60000000 -0.02310000
0.70000000 -0.02340000
0.80000000 -0.02410000
0.90000000 -0.02560000
0.95000000 -0.02640000
1.00000000 -0.02760000
