FX 66-H-80
1.00000000 0.00000000
0.99893000 0.00001000
0.99572000 0.00002000
0.99039000 0.00020000
0.98296000 0.00048000
0.97347000 0.00082000
0.96194000 0.00121000
0.94844000 0.00167000
0.93301000 0.00226000
0.91573000 0.00300000
0.89668000 0.00395000
0.87592000 0.00510000
0.85355000 0.00651000
0.82967000 0.00821000
0.80438000 0.01023000
0.77779000 0.01258000
0.75000000 0.01526000
0.72114000 0.01823000
0.69134000 0.02147000
0.66072000 0.02491000
0.62941000 0.02854000
0.59755000 0.03235000
0.56526000 0.03630000
0.53270000 0.04033000
0.50000000 0.04435000
0.46730000 0.04830000
0.43474000 0.05215000
0.40245000 0.05581000
0.37059000 0.05910000
0.33928000 0.06177000
0.30866000 0.06362000
0.27886000 0.06454000
0.25000000 0.06455000
0.22221000 0.06365000
0.19562000 0.06179000
0.17033000 0.05902000
0.14645000 0.05546000
0.12408000 0.05130000
0.10332000 0.04669000
0.08427000 0.04174000
0.06699000 0.03658000
0.05156000 0.03130000
0.03806000 0.02600000
0.02653000 0.02080000
0.01704000 0.01581000
0.00961000 0.01122000
0.00428000 0.00705000
0.00107000 0.00326000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00271000
0.00428000 -0.00484000
0.00961000 -0.00659000
0.01704000 -0.00811000
0.02653000 -0.00936000
0.03806000 -0.01042000
0.05156000 -0.01130000
0.06699000 -0.01205000
0.08427000 -0.01266000
0.10332000 -0.01318000
0.12408000 -0.01360000
0.14645000 -0.01397000
0.17033000 -0.01431000
0.19562000 -0.01459000
0.22221000 -0.01486000
0.25000000 -0.01515000
0.27886000 -0.01548000
0.30866000 -0.01583000
0.33928000 -0.01619000
0.37059000 -0.01655000
0.40245000 -0.01688000
0.43474000 -0.01718000
0.46730000 -0.01742000
0.50000000 -0.01758000
0.53270000 -0.01765000
0.56526000 -0.01762000
0.59755000 -0.01748000
0.62941000 -0.01724000
0.66072000 -0.01690000
0.69134000 -0.01646000
0.72114000 -0.01592000
0.75000000 -0.01527000
0.77779000 -0.01451000
0.80438000 -0.01362000
0.82967000 -0.01258000
0.85355000 -0.01139000
0.87592000 -0.01010000
0.89668000 -0.00877000
0.91573000 -0.00747000
0.93301000 -0.00621000
0.94844000 -0.00501000
0.96194000 -0.00390000
0.97347000 -0.00287000
0.98296000 -0.00194000
0.99039000 -0.00115000
0.99572000 -0.00054000
0.99893000 -0.00008000
1.00000000 0.00000000
