FX 69-PR-281
1.00000000 0.00000000
0.99893000 0.00086000
0.99572000 0.00291000
0.99039000 0.00571000
0.98296000 0.00930000
0.97347000 0.01357000
0.96194000 0.01842000
0.94844000 0.02386000
0.93301000 0.02990000
0.91573000 0.03643000
0.89668000 0.04320000
0.87592000 0.05071000
0.85355000 0.05857000
0.82967000 0.06671000
0.80438000 0.07529000
0.77779000 0.08414000
0.75000000 0.09314000
0.72114000 0.10214000
0.69134000 0.11114000
0.66072000 0.12000000
0.62941000 0.12886000
0.59755000 0.13729000
0.56526000 0.14529000
0.53270000 0.15286000
0.50000000 0.15986000
0.46730000 0.16614000
0.43474000 0.17186000
0.40245000 0.17657000
0.37059000 0.18029000
0.33928000 0.18286000
0.30866000 0.18457000
0.27886000 0.18514000
0.25000000 0.18457000
0.22221000 0.18286000
0.19562000 0.17957000
0.17033000 0.17486000
0.14645000 0.16871000
0.12408000 0.16100000
0.10332000 0.15186000
0.08427000 0.14129000
0.06699000 0.12929000
0.05156000 0.11600000
0.03806000 0.10186000
0.02653000 0.08700000
0.01704000 0.07157000
0.00961000 0.05571000
0.00428000 0.03886000
0.00107000 0.02043000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.01600000
0.00428000 -0.03000000
0.00961000 -0.04243000
0.01704000 -0.05371000
0.02653000 -0.06400000
0.03806000 -0.07300000
0.05156000 -0.08086000
0.06699000 -0.08757000
0.08427000 -0.09329000
0.10332000 -0.09771000
0.12408000 -0.10071000
0.14645000 -0.10229000
0.17033000 -0.10243000
0.19562000 -0.10100000
0.22221000 -0.09843000
0.25000000 -0.09486000
0.27886000 -0.09057000
0.30866000 -0.08557000
0.33928000 -0.08000000
0.37059000 -0.07386000
0.40245000 -0.06757000
0.43474000 -0.06100000
0.46730000 -0.05429000
0.50000000 -0.04757000
0.53270000 -0.04114000
0.56526000 -0.03486000
0.59755000 -0.02886000
0.62941000 -0.02314000
0.66072000 -0.01786000
0.69134000 -0.01314000
0.72114000 -0.00871000
0.75000000 -0.00486000
0.77779000 -0.00157000
0.80438000 0.00114000
0.82967000 0.00329000
0.85355000 0.00500000
0.87592000 0.00614000
0.89668000 0.00720000
0.91573000 0.00729000
0.93301000 0.00717000
0.94844000 0.00671000
0.96194000 0.00604000
0.97347000 0.00514000
0.98296000 0.00396000
0.99039000 0.00271000
0.99572000 0.00160000
0.99893000 0.00057000
1.00000000 0.00000000
