FX 72-LS-160
1.00000000 0.00000000
0.99893000 0.00037000
0.99572000 0.00147000
0.99039000 0.00330000
0.98296000 0.00584000
0.97347000 0.00910000
0.96194000 0.01305000
0.94844000 0.01769000
0.93301000 0.02297000
0.91573000 0.02887000
0.89668000 0.03540000
0.87592000 0.04252000
0.85355000 0.05022000
0.82967000 0.05841000
0.80438000 0.06707000
0.77779000 0.07620000
0.75000000 0.08579000
0.72114000 0.09579000
0.69134000 0.10605000
0.66072000 0.11639000
0.62941000 0.12656000
0.59755000 0.13615000
0.56526000 0.14458000
0.53270000 0.15139000
0.50000000 0.15643000
0.46730000 0.15982000
0.43474000 0.16164000
0.40245000 0.16188000
0.37059000 0.16058000
0.33928000 0.15792000
0.30866000 0.15415000
0.27886000 0.14937000
0.25000000 0.14365000
0.22221000 0.13710000
0.19562000 0.12980000
0.17033000 0.12184000
0.14645000 0.11333000
0.12408000 0.10432000
0.10332000 0.09493000
0.08427000 0.08525000
0.06699000 0.07544000
0.05156000 0.06553000
0.03806000 0.05557000
0.02653000 0.04580000
0.01704000 0.03634000
0.00961000 0.02746000
0.00428000 0.01815000
0.00107000 0.00834000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00583000
0.00428000 -0.00890000
0.00961000 -0.01096000
0.01704000 -0.01313000
0.02653000 -0.01470000
0.03806000 -0.01563000
0.05156000 -0.01591000
0.06699000 -0.01568000
0.08427000 -0.01512000
0.10332000 -0.01424000
0.12408000 -0.01318000
0.14645000 -0.01196000
0.17033000 -0.01054000
0.19562000 -0.00904000
0.22221000 -0.00746000
0.25000000 -0.00582000
0.27886000 -0.00420000
0.30866000 -0.00259000
0.33928000 -0.00103000
0.37059000 0.00046000
0.40245000 0.00188000
0.43474000 0.00321000
0.46730000 0.00443000
0.50000000 0.00553000
0.53270000 0.00649000
0.56526000 0.00731000
0.59755000 0.00799000
0.62941000 0.00856000
0.66072000 0.00898000
0.69134000 0.00929000
0.72114000 0.00948000
0.75000000 0.00959000
0.77779000 0.00970000
0.80438000 0.00987000
0.82967000 0.01007000
0.85355000 0.01023000
0.87592000 0.01029000
0.89668000 0.01017000
0.91573000 0.00982000
0.93301000 0.00916000
0.94844000 0.00817000
0.96194000 0.00690000
0.97347000 0.00542000
0.98296000 0.00390000
0.99039000 0.00250000
0.99572000 0.00135000
0.99893000 0.00044000
1.00000000 0.00000000
