FX 73-CL3-152
1.00000000 0.00000000
0.99893000 0.00058000
0.99572000 0.00171000
0.99039000 0.00346000
0.98296000 0.00581000
0.97347000 0.00879000
0.96194000 0.01239000
0.94844000 0.01664000
0.93301000 0.02150000
0.91573000 0.02698000
0.89668000 0.03313000
0.87592000 0.03994000
0.85355000 0.04733000
0.82967000 0.05516000
0.80438000 0.06330000
0.77779000 0.07157000
0.75000000 0.07964000
0.72114000 0.08726000
0.69134000 0.09440000
0.66072000 0.10120000
0.62941000 0.10776000
0.59755000 0.11408000
0.56526000 0.12012000
0.53270000 0.12584000
0.50000000 0.13119000
0.46730000 0.13608000
0.43474000 0.14045000
0.40245000 0.14420000
0.37059000 0.14721000
0.33928000 0.14920000
0.30866000 0.14976000
0.27886000 0.14872000
0.25000000 0.14611000
0.22221000 0.14212000
0.19562000 0.13681000
0.17033000 0.13009000
0.14645000 0.12209000
0.12408000 0.11308000
0.10332000 0.10337000
0.08427000 0.09316000
0.06699000 0.08255000
0.05156000 0.07165000
0.03806000 0.06054000
0.02653000 0.04932000
0.01704000 0.03831000
0.00961000 0.02763000
0.00428000 0.01748000
0.00107000 0.00831000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00740000
0.00428000 -0.01391000
0.00961000 -0.01934000
0.01704000 -0.02312000
0.02653000 -0.02551000
0.03806000 -0.02689000
0.05156000 -0.02750000
0.06699000 -0.02751000
0.08427000 -0.02684000
0.10332000 -0.02548000
0.12408000 -0.02344000
0.14645000 -0.02081000
0.17033000 -0.01765000
0.19562000 -0.01404000
0.22221000 -0.01005000
0.25000000 -0.00583000
0.27886000 -0.00150000
0.30866000 0.00288000
0.33928000 0.00728000
0.37059000 0.01162000
0.40245000 0.01581000
0.43474000 0.01975000
0.46730000 0.02340000
0.50000000 0.02674000
0.53270000 0.02973000
0.56526000 0.03229000
0.59755000 0.03437000
0.62941000 0.03591000
0.66072000 0.03684000
0.69134000 0.03715000
0.72114000 0.03671000
0.75000000 0.03536000
0.77779000 0.03306000
0.80438000 0.03002000
0.82967000 0.02657000
0.85355000 0.02308000
0.87592000 0.01965000
0.89668000 0.01630000
0.91573000 0.01311000
0.93301000 0.01012000
0.94844000 0.00745000
0.96194000 0.00515000
0.97347000 0.00319000
0.98296000 0.00162000
0.99039000 0.00050000
0.99572000 -0.00015000
0.99893000 -0.00028000
1.00000000 0.00000000
