74-130 WP2
1.00000000 0.00000000
0.99893000 0.00042000
0.99572000 0.00141000
0.99039000 0.00275000
0.98296000 0.00447000
0.97347000 0.00655000
0.96194000 0.00901000
0.94844000 0.01189000
0.93301000 0.01520000
0.91573000 0.01898000
0.89668000 0.02332000
0.87592000 0.02823000
0.85355000 0.03372000
0.82967000 0.03975000
0.80438000 0.04630000
0.77779000 0.05337000
0.75000000 0.06100000
0.72114000 0.06913000
0.69134000 0.07727000
0.66072000 0.08475000
0.62941000 0.09110000
0.59755000 0.09611000
0.56526000 0.09983000
0.53270000 0.10235000
0.50000000 0.10379000
0.46730000 0.10436000
0.43474000 0.10417000
0.40245000 0.10322000
0.37059000 0.10160000
0.33928000 0.09933000
0.30866000 0.09646000
0.27886000 0.09303000
0.25000000 0.08909000
0.22221000 0.08467000
0.19562000 0.07982000
0.17033000 0.07460000
0.14645000 0.06905000
0.12408000 0.06322000
0.10332000 0.05717000
0.08427000 0.05096000
0.06699000 0.04465000
0.05156000 0.03827000
0.03806000 0.03194000
0.02653000 0.02576000
0.01704000 0.01974000
0.00961000 0.01406000
0.00428000 0.00868000
0.00107000 0.00386000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00299000
0.00428000 -0.00531000
0.00961000 -0.00739000
0.01704000 -0.00942000
0.02653000 -0.01129000
0.03806000 -0.01304000
0.05156000 -0.01470000
0.06699000 -0.01622000
0.08427000 -0.01762000
0.10332000 -0.01892000
0.12408000 -0.02009000
0.14645000 -0.02117000
0.17033000 -0.02213000
0.19562000 -0.02299000
0.22221000 -0.02374000
0.25000000 -0.02437000
0.27886000 -0.02490000
0.30866000 -0.02531000
0.33928000 -0.02560000
0.37059000 -0.02576000
0.40245000 -0.02580000
0.43474000 -0.02573000
0.46730000 -0.02551000
0.50000000 -0.02515000
0.53270000 -0.02464000
0.56526000 -0.02396000
0.59755000 -0.02310000
0.62941000 -0.02203000
0.66072000 -0.02072000
0.69134000 -0.01906000
0.72114000 -0.01686000
0.75000000 -0.01401000
0.77779000 -0.01070000
0.80438000 -0.00736000
0.82967000 -0.00442000
0.85355000 -0.00200000
0.87592000 -0.00008000
0.89668000 0.00129000
0.91573000 0.00216000
0.93301000 0.00257000
0.94844000 0.00266000
0.96194000 0.00251000
0.97347000 0.00214000
0.98296000 0.00165000
0.99039000 0.00114000
0.99572000 0.00067000
0.99893000 0.00024000
1.00000000 0.00000000
