FX 75-VG-166/22
1.00000000 0.00000000
0.99893000 0.00122000
0.99572000 0.00204000
0.99039000 0.00331000
0.98296000 0.00506000
0.97347000 0.00719000
0.96194000 0.00961000
0.94844000 0.01225000
0.93301000 0.01501000
0.91573000 0.01796000
0.89668000 0.02080000
0.87592000 0.02447000
0.85355000 0.02826000
0.82967000 0.03234000
0.80438000 0.03754000
0.77779000 0.04396000
0.75000000 0.05289000
0.72114000 0.06225000
0.69134000 0.07252000
0.66072000 0.08149000
0.62941000 0.08906000
0.59755000 0.09496000
0.56526000 0.09987000
0.53270000 0.10333000
0.50000000 0.10585000
0.46730000 0.10726000
0.43474000 0.10788000
0.40245000 0.10758000
0.37059000 0.10660000
0.33928000 0.10479000
0.30866000 0.10237000
0.27886000 0.09931000
0.25000000 0.09563000
0.22221000 0.09139000
0.19562000 0.08666000
0.17033000 0.08152000
0.14645000 0.07596000
0.12408000 0.07014000
0.10332000 0.06401000
0.08427000 0.05770000
0.06699000 0.05107000
0.05156000 0.04431000
0.03806000 0.03739000
0.02653000 0.03059000
0.01704000 0.02389000
0.00961000 0.01766000
0.00428000 0.01171000
0.00107000 0.00614000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00474000
0.00428000 -0.00891000
0.00961000 -0.01286000
0.01704000 -0.01655000
0.02653000 -0.02026000
0.03806000 -0.02381000
0.05156000 -0.02739000
0.06699000 -0.03080000
0.08427000 -0.03416000
0.10332000 -0.03734000
0.12408000 -0.04043000
0.14645000 -0.04332000
0.17033000 -0.04603000
0.19562000 -0.04853000
0.22221000 -0.05082000
0.25000000 -0.05289000
0.27886000 -0.05467000
0.30866000 -0.05622000
0.33928000 -0.05745000
0.37059000 -0.05843000
0.40245000 -0.05902000
0.43474000 -0.05938000
0.46730000 -0.05927000
0.50000000 -0.05893000
0.53270000 -0.05802000
0.56526000 -0.05689000
0.59755000 -0.05506000
0.62941000 -0.05297000
0.66072000 -0.04995000
0.69134000 -0.04641000
0.72114000 -0.04163000
0.75000000 -0.03634000
0.77779000 -0.02844000
0.80438000 -0.02136000
0.82967000 -0.01506000
0.85355000 -0.01029000
0.87592000 -0.00636000
0.89668000 -0.00330000
0.91573000 -0.00145000
0.93301000 -0.00010000
0.94844000 0.00064000
0.96194000 0.00088000
0.97347000 0.00073000
0.98296000 0.00027000
0.99039000 -0.00028000
0.99572000 -0.00063000
0.99893000 -0.00087000
1.00000000 0.00000000
