FX 76-100
1.00000000 0.00000000
0.99893000 0.00076000
0.99572000 0.00100000
0.99039000 0.00161000
0.98296000 0.00239000
0.97347000 0.00343000
0.96194000 0.00466000
0.94844000 0.00609000
0.93301000 0.00773000
0.91573000 0.00959000
0.89668000 0.01163000
0.87592000 0.01383000
0.85355000 0.01617000
0.82967000 0.01859000
0.80438000 0.02107000
0.77779000 0.02357000
0.75000000 0.02607000
0.72114000 0.02855000
0.69134000 0.03099000
0.66072000 0.03336000
0.62941000 0.03565000
0.59755000 0.03786000
0.56526000 0.03997000
0.53270000 0.04195000
0.50000000 0.04375000
0.46730000 0.04534000
0.43474000 0.04674000
0.40245000 0.04795000
0.37059000 0.04896000
0.33928000 0.04969000
0.30866000 0.05015000
0.27886000 0.05033000
0.25000000 0.05021000
0.22221000 0.04976000
0.19562000 0.04896000
0.17033000 0.04777000
0.14645000 0.04615000
0.12408000 0.04406000
0.10332000 0.04148000
0.08427000 0.03844000
0.06699000 0.03502000
0.05156000 0.03128000
0.03806000 0.02730000
0.02653000 0.02310000
0.01704000 0.01872000
0.00961000 0.01414000
0.00428000 0.00940000
0.00107000 0.00467000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00467000
0.00428000 -0.00940000
0.00961000 -0.01414000
0.01704000 -0.01872000
0.02653000 -0.02310000
0.03806000 -0.02730000
0.05156000 -0.03128000
0.06699000 -0.03502000
0.08427000 -0.03844000
0.10332000 -0.04148000
0.12408000 -0.04406000
0.14645000 -0.04615000
0.17033000 -0.04777000
0.19562000 -0.04896000
0.22221000 -0.04976000
0.25000000 -0.05021000
0.27886000 -0.05033000
0.30866000 -0.05015000
0.33928000 -0.04969000
0.37059000 -0.04896000
0.40245000 -0.04795000
0.43474000 -0.04674000
0.46730000 -0.04534000
0.50000000 -0.04375000
0.53270000 -0.04195000
0.56526000 -0.03997000
0.59755000 -0.03786000
0.62941000 -0.03565000
0.66072000 -0.03336000
0.69134000 -0.03099000
0.72114000 -0.02855000
0.75000000 -0.02607000
0.77779000 -0.02357000
0.80438000 -0.02107000
0.82967000 -0.01859000
0.85355000 -0.01617000
0.87592000 -0.01383000
0.89668000 -0.01163000
0.91573000 -0.00959000
0.93301000 -0.00773000
0.94844000 -0.00609000
0.96194000 -0.00466000
0.97347000 -0.00343000
0.98296000 -0.00239000
0.99039000 -0.00161000
0.99572000 -0.00100000
0.99893000 -0.00076000
1.00000000 0.00000000
