FX 76-MP-160
1.00000000 0.00000000
0.99893000 0.00126000
0.99572000 0.00284000
0.99039000 0.00493000
0.98296000 0.00762000
0.97347000 0.01090000
0.96194000 0.01462000
0.94844000 0.01904000
0.93301000 0.02392000
0.91573000 0.02958000
0.89668000 0.03567000
0.87592000 0.04257000
0.85355000 0.04984000
0.82967000 0.05790000
0.80438000 0.06626000
0.77779000 0.07531000
0.75000000 0.08442000
0.72114000 0.09364000
0.69134000 0.10221000
0.66072000 0.11007000
0.62941000 0.11686000
0.59755000 0.12285000
0.56526000 0.12768000
0.53270000 0.13172000
0.50000000 0.13464000
0.46730000 0.13698000
0.43474000 0.13827000
0.40245000 0.13892000
0.37059000 0.13850000
0.33928000 0.13751000
0.30866000 0.13544000
0.27886000 0.13282000
0.25000000 0.12910000
0.22221000 0.12486000
0.19562000 0.11955000
0.17033000 0.11375000
0.14645000 0.10687000
0.12408000 0.09954000
0.10332000 0.09127000
0.08427000 0.08273000
0.06699000 0.07347000
0.05156000 0.06412000
0.03806000 0.05415000
0.02653000 0.04442000
0.01704000 0.03439000
0.00961000 0.02498000
0.00428000 0.01589000
0.00107000 0.00796000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00567000
0.00428000 -0.01129000
0.00961000 -0.01697000
0.01704000 -0.02124000
0.02653000 -0.02544000
0.03806000 -0.02819000
0.05156000 -0.03099000
0.06699000 -0.03249000
0.08427000 -0.03410000
0.10332000 -0.03444000
0.12408000 -0.03483000
0.14645000 -0.03407000
0.17033000 -0.03362000
0.19562000 -0.03214000
0.22221000 -0.03111000
0.25000000 -0.02919000
0.27886000 -0.02779000
0.30866000 -0.02557000
0.33928000 -0.02396000
0.37059000 -0.02164000
0.40245000 -0.01995000
0.43474000 -0.01761000
0.46730000 -0.01589000
0.50000000 -0.01350000
0.53270000 -0.01175000
0.56526000 -0.00932000
0.59755000 -0.00742000
0.62941000 -0.00482000
0.66072000 -0.00262000
0.69134000 0.00029000
0.72114000 0.00276000
0.75000000 0.00575000
0.77779000 0.00787000
0.80438000 0.01012000
0.82967000 0.01116000
0.85355000 0.01225000
0.87592000 0.01210000
0.89668000 0.01202000
0.91573000 0.01085000
0.93301000 0.00992000
0.94844000 0.00809000
0.96194000 0.00663000
0.97347000 0.00458000
0.98296000 0.00312000
0.99039000 0.00143000
0.99572000 0.00066000
0.99893000 0.00045000
1.00000000 0.00000000
