FX 77-W-270S
1.00000000 0.01240000
0.99893000 0.01277000
0.99572000 0.01378000
0.99039000 0.01525000
0.98296000 0.01725000
0.97347000 0.01980000
0.96194000 0.02290000
0.94844000 0.02650000
0.93301000 0.03060000
0.91573000 0.03520000
0.89668000 0.04022000
0.87592000 0.04562000
0.85355000 0.05147000
0.82967000 0.05771000
0.80438000 0.06428000
0.77779000 0.07107000
0.75000000 0.07810000
0.72114000 0.08542000
0.69134000 0.09310000
0.66072000 0.10104000
0.62941000 0.10927000
0.59755000 0.11760000
0.56526000 0.12600000
0.53270000 0.13453000
0.50000000 0.14299000
0.46730000 0.15134000
0.43474000 0.15933000
0.40245000 0.16678000
0.37059000 0.17299000
0.33928000 0.17683000
0.30866000 0.17810000
0.27886000 0.17715000
0.25000000 0.17418000
0.22221000 0.16931000
0.19562000 0.16281000
0.17033000 0.15489000
0.14645000 0.14576000
0.12408000 0.13556000
0.10332000 0.12442000
0.08427000 0.11261000
0.06699000 0.10026000
0.05156000 0.08773000
0.03806000 0.07504000
0.02653000 0.06261000
0.01704000 0.05034000
0.00961000 0.03897000
0.00428000 0.02728000
0.00107000 0.01754000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.01275000
0.00428000 -0.01771000
0.00961000 -0.02538000
0.01704000 -0.03161000
0.02653000 -0.03739000
0.03806000 -0.04316000
0.05156000 -0.04887000
0.06699000 -0.05429000
0.08427000 -0.05940000
0.10332000 -0.06437000
0.12408000 -0.06911000
0.14645000 -0.07359000
0.17033000 -0.07773000
0.19562000 -0.08154000
0.22221000 -0.08497000
0.25000000 -0.08807000
0.27886000 -0.09070000
0.30866000 -0.09275000
0.33928000 -0.09429000
0.37059000 -0.09535000
0.40245000 -0.09574000
0.43474000 -0.09545000
0.46730000 -0.09432000
0.50000000 -0.09246000
0.53270000 -0.08954000
0.56526000 -0.08529000
0.59755000 -0.07947000
0.62941000 -0.07227000
0.66072000 -0.06481000
0.69134000 -0.05746000
0.72114000 -0.05090000
0.75000000 -0.04504000
0.77779000 -0.03990000
0.80438000 -0.03530000
0.82967000 -0.03130000
0.85355000 -0.02770000
0.87592000 -0.02437000
0.89668000 -0.02115000
0.91573000 -0.01800000
0.93301000 -0.01498000
0.94844000 -0.01230000
0.96194000 -0.01001000
0.97347000 -0.00812000
0.98296000 -0.00658000
0.99039000 -0.00546000
0.99572000 -0.00469000
0.99893000 -0.00426000
1.00000000 -0.00412000
