FX 78-K-150/20
1.00000000 0.00000000
0.99893000 0.00106000
0.99572000 0.00162000
0.99039000 0.00257000
0.98296000 0.00395000
0.97347000 0.00573000
0.96194000 0.00792000
0.94844000 0.01056000
0.93301000 0.01369000
0.91573000 0.01732000
0.89668000 0.02145000
0.87592000 0.02596000
0.85355000 0.03083000
0.82967000 0.03624000
0.80438000 0.04287000
0.77779000 0.05088000
0.75000000 0.06002000
0.72114000 0.06963000
0.69134000 0.07938000
0.66072000 0.08875000
0.62941000 0.09724000
0.59755000 0.10440000
0.56526000 0.11006000
0.53270000 0.11421000
0.50000000 0.11700000
0.46730000 0.11851000
0.43474000 0.11885000
0.40245000 0.11816000
0.37059000 0.11650000
0.33928000 0.11397000
0.30866000 0.11058000
0.27886000 0.10642000
0.25000000 0.10149000
0.22221000 0.09591000
0.19562000 0.08972000
0.17033000 0.08310000
0.14645000 0.07610000
0.12408000 0.06891000
0.10332000 0.06152000
0.08427000 0.05407000
0.06699000 0.04663000
0.05156000 0.03934000
0.03806000 0.03225000
0.02653000 0.02552000
0.01704000 0.01922000
0.00961000 0.01354000
0.00428000 0.00853000
0.00107000 0.00424000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00362000
0.00428000 -0.00729000
0.00961000 -0.01092000
0.01704000 -0.01427000
0.02653000 -0.01726000
0.03806000 -0.01983000
0.05156000 -0.02204000
0.06699000 -0.02396000
0.08427000 -0.02567000
0.10332000 -0.02714000
0.12408000 -0.02842000
0.14645000 -0.02947000
0.17033000 -0.03038000
0.19562000 -0.03111000
0.22221000 -0.03168000
0.25000000 -0.03210000
0.27886000 -0.03239000
0.30866000 -0.03253000
0.33928000 -0.03259000
0.37059000 -0.03255000
0.40245000 -0.03245000
0.43474000 -0.03223000
0.46730000 -0.03191000
0.50000000 -0.03146000
0.53270000 -0.03084000
0.56526000 -0.03011000
0.59755000 -0.02921000
0.62941000 -0.02814000
0.66072000 -0.02682000
0.69134000 -0.02528000
0.72114000 -0.02341000
0.75000000 -0.02123000
0.77779000 -0.01860000
0.80438000 -0.01556000
0.82967000 -0.01198000
0.85355000 -0.00876000
0.87592000 -0.00616000
0.89668000 -0.00416000
0.91573000 -0.00261000
0.93301000 -0.00154000
0.94844000 -0.00089000
0.96194000 -0.00062000
0.97347000 -0.00062000
0.98296000 -0.00080000
0.99039000 -0.00099000
0.99572000 -0.00107000
0.99893000 -0.00098000
1.00000000 0.00000000
