FX 78-K-161
1.00000000 0.00000000
0.99893000 0.00103000
0.99572000 0.00172000
0.99039000 0.00262000
0.98296000 0.00365000
0.97347000 0.00488000
0.96194000 0.00620000
0.94844000 0.00781000
0.93301000 0.00947000
0.91573000 0.01147000
0.89668000 0.01347000
0.87592000 0.01594000
0.85355000 0.01825000
0.82967000 0.02124000
0.80438000 0.02550000
0.77779000 0.03411000
0.75000000 0.04380000
0.72114000 0.05454000
0.69134000 0.06475000
0.66072000 0.07473000
0.62941000 0.08297000
0.59755000 0.09024000
0.56526000 0.09613000
0.53270000 0.10124000
0.50000000 0.10471000
0.46730000 0.10736000
0.43474000 0.10867000
0.40245000 0.10921000
0.37059000 0.10861000
0.33928000 0.10728000
0.30866000 0.10491000
0.27886000 0.10186000
0.25000000 0.09788000
0.22221000 0.09332000
0.19562000 0.08801000
0.17033000 0.08236000
0.14645000 0.07616000
0.12408000 0.06971000
0.10332000 0.06287000
0.08427000 0.05592000
0.06699000 0.04875000
0.05156000 0.04162000
0.03806000 0.03445000
0.02653000 0.02754000
0.01704000 0.02081000
0.00961000 0.01467000
0.00428000 0.00934000
0.00107000 0.00495000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00513000
0.00428000 -0.00969000
0.00961000 -0.01435000
0.01704000 -0.01816000
0.02653000 -0.02178000
0.03806000 -0.02499000
0.05156000 -0.02815000
0.06699000 -0.03097000
0.08427000 -0.03377000
0.10332000 -0.03624000
0.12408000 -0.03870000
0.14645000 -0.04081000
0.17033000 -0.04294000
0.19562000 -0.04468000
0.22221000 -0.04645000
0.25000000 -0.04782000
0.27886000 -0.04921000
0.30866000 -0.05018000
0.33928000 -0.05120000
0.37059000 -0.05176000
0.40245000 -0.05238000
0.43474000 -0.05250000
0.46730000 -0.05270000
0.50000000 -0.05233000
0.53270000 -0.05206000
0.56526000 -0.05113000
0.59755000 -0.05030000
0.62941000 -0.04876000
0.66072000 -0.04726000
0.69134000 -0.04478000
0.72114000 -0.04220000
0.75000000 -0.03857000
0.77779000 -0.03496000
0.80438000 -0.03005000
0.82967000 -0.02498000
0.85355000 -0.01953000
0.87592000 -0.01509000
0.89668000 -0.01105000
0.91573000 -0.00800000
0.93301000 -0.00546000
0.94844000 -0.00373000
0.96194000 -0.00245000
0.97347000 -0.00171000
0.98296000 -0.00123000
0.99039000 -0.00103000
0.99572000 -0.00096000
0.99893000 -0.00088000
1.00000000 0.00000000
