FX 78-PK-188/20
1.00000000 0.00000000
0.99893000 0.00022000
0.99572000 0.00088000
0.99039000 0.00199000
0.98296000 0.00353000
0.97347000 0.00553000
0.96194000 0.00802000
0.94844000 0.01105000
0.93301000 0.01470000
0.91573000 0.01900000
0.89668000 0.02396000
0.87592000 0.02962000
0.85355000 0.03602000
0.82967000 0.04310000
0.80438000 0.05076000
0.77779000 0.05893000
0.75000000 0.06757000
0.72114000 0.07656000
0.69134000 0.08551000
0.66072000 0.09388000
0.62941000 0.10124000
0.59755000 0.10723000
0.56526000 0.11175000
0.53270000 0.11492000
0.50000000 0.11683000
0.46730000 0.11765000
0.43474000 0.11756000
0.40245000 0.11660000
0.37059000 0.11484000
0.33928000 0.11234000
0.30866000 0.10918000
0.27886000 0.10546000
0.25000000 0.10114000
0.22221000 0.09619000
0.19562000 0.09070000
0.17033000 0.08479000
0.14645000 0.07860000
0.12408000 0.07215000
0.10332000 0.06539000
0.08427000 0.05840000
0.06699000 0.05140000
0.05156000 0.04448000
0.03806000 0.03751000
0.02653000 0.03044000
0.01704000 0.02349000
0.00961000 0.01662000
0.00428000 0.01014000
0.00107000 0.00465000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00434000
0.00428000 -0.00901000
0.00961000 -0.01390000
0.01704000 -0.01840000
0.02653000 -0.02262000
0.03806000 -0.02694000
0.05156000 -0.03134000
0.06699000 -0.03566000
0.08427000 -0.03972000
0.10332000 -0.04356000
0.12408000 -0.04725000
0.14645000 -0.05085000
0.17033000 -0.05422000
0.19562000 -0.05727000
0.22221000 -0.06008000
0.25000000 -0.06270000
0.27886000 -0.06506000
0.30866000 -0.06701000
0.33928000 -0.06848000
0.37059000 -0.06955000
0.40245000 -0.07028000
0.43474000 -0.07058000
0.46730000 -0.07031000
0.50000000 -0.06938000
0.53270000 -0.06785000
0.56526000 -0.06571000
0.59755000 -0.06279000
0.62941000 -0.05890000
0.66072000 -0.05401000
0.69134000 -0.04832000
0.72114000 -0.04213000
0.75000000 -0.03586000
0.77779000 -0.02994000
0.80438000 -0.02457000
0.82967000 -0.01978000
0.85355000 -0.01547000
0.87592000 -0.01164000
0.89668000 -0.00837000
0.91573000 -0.00579000
0.93301000 -0.00392000
0.94844000 -0.00268000
0.96194000 -0.00185000
0.97347000 -0.00124000
0.98296000 -0.00078000
0.99039000 -0.00043000
0.99572000 -0.00019000
0.99893000 -0.00005000
1.00000000 0.00000000
