FX 79-L-120
1.00000000 0.00000000
0.99893000 0.00090000
0.99572000 0.00118000
0.99039000 0.00166000
0.98296000 0.00221000
0.97347000 0.00297000
0.96194000 0.00390000
0.94844000 0.00500000
0.93301000 0.00627000
0.91573000 0.00772000
0.89668000 0.00939000
0.87592000 0.01129000
0.85355000 0.01343000
0.82967000 0.01581000
0.80438000 0.01845000
0.77779000 0.02131000
0.75000000 0.02438000
0.72114000 0.02766000
0.69134000 0.03112000
0.66072000 0.03472000
0.62941000 0.03839000
0.59755000 0.04209000
0.56526000 0.04571000
0.53270000 0.04915000
0.50000000 0.05228000
0.46730000 0.05498000
0.43474000 0.05718000
0.40245000 0.05883000
0.37059000 0.05988000
0.33928000 0.06034000
0.30866000 0.06023000
0.27886000 0.05960000
0.25000000 0.05852000
0.22221000 0.05701000
0.19562000 0.05512000
0.17033000 0.05287000
0.14645000 0.05029000
0.12408000 0.04742000
0.10332000 0.04426000
0.08427000 0.04085000
0.06699000 0.03720000
0.05156000 0.03333000
0.03806000 0.02924000
0.02653000 0.02490000
0.01704000 0.02028000
0.00961000 0.01539000
0.00428000 0.01032000
0.00107000 0.00517000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00517000
0.00428000 -0.01032000
0.00961000 -0.01539000
0.01704000 -0.02028000
0.02653000 -0.02490000
0.03806000 -0.02924000
0.05156000 -0.03333000
0.06699000 -0.03720000
0.08427000 -0.04085000
0.10332000 -0.04426000
0.12408000 -0.04742000
0.14645000 -0.05029000
0.17033000 -0.05287000
0.19562000 -0.05512000
0.22221000 -0.05701000
0.25000000 -0.05852000
0.27886000 -0.05960000
0.30866000 -0.06023000
0.33928000 -0.06034000
0.37059000 -0.05988000
0.40245000 -0.05883000
0.43474000 -0.05718000
0.46730000 -0.05498000
0.50000000 -0.05228000
0.53270000 -0.04915000
0.56526000 -0.04571000
0.59755000 -0.04209000
0.62941000 -0.03839000
0.66072000 -0.03472000
0.69134000 -0.03112000
0.72114000 -0.02766000
0.75000000 -0.02438000
0.77779000 -0.02131000
0.80438000 -0.01845000
0.82967000 -0.01581000
0.85355000 -0.01343000
0.87592000 -0.01129000
0.89668000 -0.00939000
0.91573000 -0.00772000
0.93301000 -0.00627000
0.94844000 -0.00500000
0.96194000 -0.00390000
0.97347000 -0.00297000
0.98296000 -0.00221000
0.99039000 -0.00166000
0.99572000 -0.00118000
0.99893000 -0.00090000
1.00000000 0.00000000
