FX 84-W-150
1.00000000 -0.00131000
0.99893000 -0.00117000
0.99572000 -0.00069000
0.99039000 0.00019000
0.98296000 0.00154000
0.97347000 0.00344000
0.96194000 0.00593000
0.94844000 0.00905000
0.93301000 0.01280000
0.91573000 0.01719000
0.89668000 0.02220000
0.87592000 0.02779000
0.85355000 0.03391000
0.82967000 0.04047000
0.80438000 0.04739000
0.77779000 0.05454000
0.75000000 0.06184000
0.72114000 0.06913000
0.69134000 0.07628000
0.66072000 0.08319000
0.62941000 0.08969000
0.59755000 0.09569000
0.56526000 0.10110000
0.53270000 0.10576000
0.50000000 0.10965000
0.46730000 0.11269000
0.43474000 0.11477000
0.40245000 0.11594000
0.37059000 0.11614000
0.33928000 0.11534000
0.30866000 0.11363000
0.27886000 0.11095000
0.25000000 0.10741000
0.22221000 0.10308000
0.19562000 0.09798000
0.17033000 0.09229000
0.14645000 0.08604000
0.12408000 0.07927000
0.10332000 0.07208000
0.08427000 0.06459000
0.06699000 0.05692000
0.05156000 0.04918000
0.03806000 0.04146000
0.02653000 0.03385000
0.01704000 0.02644000
0.00961000 0.01933000
0.00428000 0.01248000
0.00107000 0.00598000
0.00000000 0.00000000
0.00000000 0.00000000
0.00107000 -0.00544000
0.00428000 -0.01031000
0.00961000 -0.01474000
0.01704000 -0.01874000
0.02653000 -0.02221000
0.03806000 -0.02520000
0.05156000 -0.02774000
0.06699000 -0.02986000
0.08427000 -0.03159000
0.10332000 -0.03296000
0.12408000 -0.03402000
0.14645000 -0.03479000
0.17033000 -0.03531000
0.19562000 -0.03560000
0.22221000 -0.03570000
0.25000000 -0.03563000
0.27886000 -0.03540000
0.30866000 -0.03501000
0.33928000 -0.03446000
0.37059000 -0.03375000
0.40245000 -0.03287000
0.43474000 -0.03182000
0.46730000 -0.03060000
0.50000000 -0.02919000
0.53270000 -0.02760000
0.56526000 -0.02583000
0.59755000 -0.02389000
0.62941000 -0.02180000
0.66072000 -0.01959000
0.69134000 -0.01729000
0.72114000 -0.01497000
0.75000000 -0.01266000
0.77779000 -0.01041000
0.80438000 -0.00829000
0.82967000 -0.00633000
0.85355000 -0.00460000
0.87592000 -0.00312000
0.89668000 -0.00192000
0.91573000 -0.00102000
0.93301000 -0.00040000
0.94844000 -0.00005000
0.96194000 0.00005000
0.97347000 -0.00006000
0.98296000 -0.00030000
0.99039000 -0.00063000
0.99572000 -0.00097000
0.99893000 -0.00121000
1.00000000 -0.00131000
