EH 1.0/9.0
1.00000000 0.00000000
0.99605700 0.00015000
0.99114400 0.00041200
0.98429200 0.00087000
0.97552800 0.00153300
0.96488800 0.00238500
0.95241400 0.00341100
0.93815300 0.00460600
0.92216400 0.00597400
0.90450800 0.00752200
0.88525700 0.00925200
0.86448400 0.01116200
0.84227400 0.01324300
0.81871200 0.01548200
0.79389300 0.01786600
0.76791300 0.02037900
0.74087700 0.02300200
0.71289000 0.02571500
0.68406200 0.02849300
0.65450800 0.03131000
0.62434500 0.03413600
0.59369100 0.03693800
0.56266700 0.03968000
0.53139500 0.04232400
0.50000000 0.04482800
0.46860500 0.04714900
0.43733300 0.04924200
0.40630900 0.05106300
0.37565500 0.05256800
0.34549200 0.05371600
0.31593800 0.05446900
0.28711000 0.05479100
0.25912300 0.05465500
0.23208700 0.05404100
0.20610700 0.05293600
0.18120800 0.05133800
0.15772600 0.04925500
0.13551600 0.04670800
0.11474300 0.04372400
0.09549200 0.04034100
0.07783600 0.03660600
0.06154700 0.03257800
0.04758600 0.02831700
0.03511200 0.02389300
0.02447200 0.01938700
0.01570800 0.01491000
0.00885600 0.01061700
0.00394300 0.00666700
0.00098700 0.00314900
0.00000000 0.00000000
0.00000000 0.00000000
0.00098700 -0.00296300
0.00394300 -0.00593100
0.00885600 -0.00898700
0.01570800 -0.01208000
0.02447200 -0.01509400
0.03511200 -0.01793200
0.04758600 -0.02054800
0.06154700 -0.02292700
0.07783600 -0.02507100
0.09549200 -0.02698500
0.11474300 -0.02867800
0.13551600 -0.03015900
0.15772600 -0.03143900
0.18128800 -0.03253000
0.20610700 -0.03343900
0.23208700 -0.03417100
0.25912300 -0.03473000
0.28711000 -0.03512000
0.31593800 -0.03534000
0.34549200 -0.03539200
0.37565500 -0.03527100
0.40630900 -0.03497400
0.43733300 -0.03449800
0.46960500 -0.03383900
0.50000000 -0.03299600
0.53139500 -0.03197000
0.56266700 -0.03076600
0.59363100 -0.02939400
0.62434500 -0.02786500
0.65450800 -0.02619600
0.68406200 -0.02440600
0.71289000 -0.02251300
0.74087700 -0.02056100
0.76791300 -0.01856200
0.79389300 -0.01655200
0.81871200 -0.01456100
0.84227400 -0.01262100
0.86448400 -0.01075900
0.88525700 -0.00900300
0.90450800 -0.00737700
0.92216400 -0.00589600
0.93815300 -0.00456800
0.95241400 -0.00339400
0.96488800 -0.00237900
0.97552800 -0.00153200
0.98429200 -0.00087000
0.99114400 -0.00041200
0.99605700 -0.00015000
1.00000000 0.00000000
