EH 3.0/12
1.00000000 -0.00095000
0.99000000 -0.00025000
0.98000000 0.00067000
0.97000000 0.00169000
0.95000000 0.00386000
0.92500000 0.00674000
0.90000000 0.00978000
0.87500000 0.01294000
0.85000000 0.01621000
0.82500000 0.01960000
0.80000000 0.02311000
0.77500000 0.02671000
0.75000000 0.03040000
0.72500000 0.03417000
0.70000000 0.03801000
0.67500000 0.04190000
0.65000000 0.04581000
0.60000000 0.05364000
0.55000000 0.06133000
0.50000000 0.06869000
0.45000000 0.07544000
0.40000000 0.08121000
0.35000000 0.08564000
0.30000000 0.08822000
0.27500000 0.08863000
0.25000000 0.08836000
0.22500000 0.08729000
0.20000000 0.08532000
0.17500000 0.08233000
0.15000000 0.07816000
0.12500000 0.07262000
0.10000000 0.06546000
0.07500000 0.05632000
0.05000000 0.04459000
0.03500000 0.03580000
0.02500000 0.02887000
0.02000000 0.02494000
0.01500000 0.02061000
0.01250000 0.01828000
0.01000000 0.01579000
0.00750000 0.01305000
0.00500000 0.00999000
0.00400000 0.00863000
0.00300000 0.00816000
0.00250000 0.00637000
0.00200000 0.00553000
0.00150000 0.00462000
0.00100000 0.00360000
0.00050000 0.00233000
0.00000000 0.00000000
0.00000000 0.00000000
0.00050000 -0.00335000
0.00100000 -0.00451000
0.00150000 -0.00540000
0.00200000 -0.00616000
0.00250000 -0.00682000
0.00300000 -0.00741000
0.00400000 -0.00841000
0.00500000 -0.00924000
0.00750000 -0.01090000
0.01000000 -0.01221000
0.01250000 -0.01332000
0.01500000 -0.01431000
0.02000000 -0.01600000
0.02500000 -0.01745000
0.03500000 -0.01982000
0.05000000 -0.02217000
0.07500000 -0.02456000
0.10000000 -0.02602000
0.12500000 -0.02699000
0.15000000 -0.02770000
0.17500000 -0.02834000
0.20000000 -0.02898000
0.22500000 -0.02962000
0.25000000 -0.03026000
0.27500000 -0.03090000
0.30000000 -0.03154000
0.35000000 -0.03282000
0.40000000 -0.03410000
0.45000000 -0.03498000
0.50000000 -0.03510000
0.55000000 -0.03475000
0.60000000 -0.03370000
0.65000000 -0.03184000
0.67500000 -0.03060000
0.70000000 -0.02916000
0.72500000 -0.02751000
0.75000000 -0.02565000
0.77500000 -0.02360000
0.80000000 -0.02139000
0.82500000 -0.01907000
0.85000000 -0.01665000
0.87500000 -0.01416000
0.90000000 -0.01159000
0.92500000 -0.00898000
0.95000000 -0.00633000
0.97000000 -0.00418000
0.98000000 -0.00311000
0.99000000 -0.00203000
1.00000000 -0.00095000
