137 1
1.0000000 0.0000000 0.0015170
0.9993980 0.0000000 0.0018259
0.9975920 0.0000000 0.0027310
0.9945880 0.0000000 0.0041676
0.9903930 0.0000000 0.0060401
0.9850160 0.0000000 0.0082349
0.9784700 0.0000000 0.0106350
0.9707720 0.0000000 0.0131355
0.9619400 0.0000000 0.0156559
0.9519950 0.0000000 0.0181466
0.9409610 0.0000000 0.0205896
0.9288640 0.0000000 0.0229951
0.9157350 0.0000000 0.0253919
0.9016040 0.0000000 0.0278184
0.8865050 0.0000000 0.0303106
0.8704760 0.0000000 0.0328927
0.8535530 0.0000000 0.0355719
0.8357790 0.0000000 0.0383341
0.8171970 0.0000000 0.0411463
0.7978500 0.0000000 0.0439606
0.7777850 0.0000000 0.0467198
0.7570510 0.0000000 0.0493643
0.7356980 0.0000000 0.0518398
0.7137780 0.0000000 0.0541019
0.6913420 0.0000000 0.0561206
0.6684450 0.0000000 0.0578812
0.6451420 0.0000000 0.0593841
0.6214900 0.0000000 0.0606425
0.5975450 0.0000000 0.0616787
0.5733650 0.0000000 0.0625197
0.5490090 0.0000000 0.0631927
0.5245340 0.0000000 0.0637212
0.5000000 0.0000000 0.0641218
0.4754660 0.0000000 0.0644025
0.4509910 0.0000000 0.0645628
0.4266350 0.0000000 0.0645950
0.4024550 0.0000000 0.0644862
0.3785100 0.0000000 0.0642212
0.3548580 0.0000000 0.0637855
0.3315550 0.0000000 0.0631676
0.3086580 0.0000000 0.0623606
0.2862220 0.0000000 0.0613623
0.2643020 0.0000000 0.0601752
0.2429490 0.0000000 0.0588051
0.2222150 0.0000000 0.0572599
0.2021500 0.0000000 0.0555489
0.1828030 0.0000000 0.0536817
0.1642210 0.0000000 0.0516683
0.1464470 0.0000000 0.0495189
0.1295240 0.0000000 0.0472444
0.1134950 0.0000000 0.0448562
0.0983960 0.0000000 0.0423646
0.0842650 0.0000000 0.0397786
0.0711360 0.0000000 0.0371033
0.0590390 0.0000000 0.0343385
0.0480050 0.0000000 0.0314787
0.0380600 0.0000000 0.0285124
0.0292280 0.0000000 0.0254244
0.0215300 0.0000000 0.0221991
0.0149840 0.0000000 0.0188243
0.0096070 0.0000000 0.0152967
0.0054120 0.0000000 0.0116241
0.0036000 0.0000000 0.0095337
0.0024080 0.0000000 0.0078265
0.0018000 0.0000000 0.0067798
0.0012000 0.0000000 0.0055463
0.0006020 0.0000000 0.0039358
0.0003000 0.0000000 0.0027811
0.0000000 0.0000000 0.0000000
0.0003000 0.0000000 -0.0022955
0.0006020 0.0000000 -0.0032475
0.0012000 0.0000000 -0.0045730
0.0018000 0.0000000 -0.0055860
0.0024080 0.0000000 -0.0064439
0.0036000 0.0000000 -0.0078387
0.0054120 0.0000000 -0.0095383
0.0096070 0.0000000 -0.0124974
0.0149840 0.0000000 -0.0153039
0.0215300 0.0000000 -0.0179566
0.0292280 0.0000000 -0.0204687
0.0380600 0.0000000 -0.0228648
0.0480050 0.0000000 -0.0251739
0.0590390 0.0000000 -0.0274244
0.0711360 0.0000000 -0.0296398
0.0842650 0.0000000 -0.0318361
0.0983960 0.0000000 -0.0340215
0.1134950 0.0000000 -0.0361971
0.1295240 0.0000000 -0.0383581
0.1464470 0.0000000 -0.0404973
0.1642210 0.0000000 -0.0426044
0.1828030 0.0000000 -0.0446678
0.2021500 0.0000000 -0.0466735
0.2222150 0.0000000 -0.0486031
0.2429490 0.0000000 -0.0504329
0.2643020 0.0000000 -0.0521328
0.2862220 0.0000000 -0.0536665
0.3086580 0.0000000 -0.0549927
0.3315550 0.0000000 -0.0560674
0.3548580 0.0000000 -0.0568473
0.3785100 0.0000000 -0.0572926
0.4024550 0.0000000 -0.0573701
0.4266350 0.0000000 -0.0570543
0.4509910 0.0000000 -0.0563284
0.4754660 0.0000000 -0.0551838
0.5000000 0.0000000 -0.0536196
0.5245340 0.0000000 -0.0516412
0.5490090 0.0000000 -0.0492604
0.5733650 0.0000000 -0.0464960
0.5975450 0.0000000 -0.0433740
0.6214900 0.0000000 -0.0399301
0.6451420 0.0000000 -0.0362102
0.6684450 0.0000000 -0.0322709
0.6913420 0.0000000 -0.0281792
0.7137780 0.0000000 -0.0240098
0.7356980 0.0000000 -0.0198421
0.7570510 0.0000000 -0.0157554
0.7777850 0.0000000 -0.0118257
0.7978500 0.0000000 -0.0081218
0.8171970 0.0000000 -0.0047030
0.8357790 0.0000000 -0.0016187
0.8535530 0.0000000 0.0010914
0.8704760 0.0000000 0.0033953
0.8865050 0.0000000 0.0052670
0.9016040 0.0000000 0.0066871
0.9157350 0.0000000 0.0076419
0.9288640 0.0000000 0.0081272
0.9409610 0.0000000 0.0081514
0.9519950 0.0000000 0.0077407
0.9619400 0.0000000 0.0069424
0.9707720 0.0000000 0.0058280
0.9784700 0.0000000 0.0044927
0.9850160 0.0000000 0.0030508
0.9903930 0.0000000 0.0016293
0.9945880 0.0000000 0.0003567
0.9975920 0.0000000 -0.0006496
0.9993980 0.0000000 -0.0012949
1.0000000 0.0000000 -0.0015170
