137 1
1.0000000 0.0000000 0.0015170
0.9993980 0.0000000 0.0018098
0.9975920 0.0000000 0.0026667
0.9945880 0.0000000 0.0040233
0.9903930 0.0000000 0.0057841
0.9850160 0.0000000 0.0078357
0.9784700 0.0000000 0.0100613
0.9707720 0.0000000 0.0123560
0.9619400 0.0000000 0.0146396
0.9519950 0.0000000 0.0168626
0.9409610 0.0000000 0.0190078
0.9288640 0.0000000 0.0210871
0.9157350 0.0000000 0.0231326
0.9016040 0.0000000 0.0251881
0.8865050 0.0000000 0.0272974
0.8704760 0.0000000 0.0294951
0.8535530 0.0000000 0.0318012
0.8357790 0.0000000 0.0342164
0.8171970 0.0000000 0.0367228
0.7978500 0.0000000 0.0392869
0.7777850 0.0000000 0.0418633
0.7570510 0.0000000 0.0444010
0.7356980 0.0000000 0.0468490
0.7137780 0.0000000 0.0491610
0.6913420 0.0000000 0.0512999
0.6684450 0.0000000 0.0532396
0.6451420 0.0000000 0.0549661
0.6214900 0.0000000 0.0564766
0.5975450 0.0000000 0.0577778
0.5733650 0.0000000 0.0588826
0.5490090 0.0000000 0.0598071
0.5245340 0.0000000 0.0605664
0.5000000 0.0000000 0.0611724
0.4754660 0.0000000 0.0616313
0.4509910 0.0000000 0.0619430
0.4266350 0.0000000 0.0621017
0.4024550 0.0000000 0.0620978
0.3785100 0.0000000 0.0619200
0.3548580 0.0000000 0.0615581
0.3315550 0.0000000 0.0610050
0.3086580 0.0000000 0.0602582
0.2862220 0.0000000 0.0593198
0.2643020 0.0000000 0.0581961
0.2429490 0.0000000 0.0568957
0.2222150 0.0000000 0.0554287
0.2021500 0.0000000 0.0538046
0.1828030 0.0000000 0.0520324
0.1642210 0.0000000 0.0501201
0.1464470 0.0000000 0.0480753
0.1295240 0.0000000 0.0459057
0.1134950 0.0000000 0.0436204
0.0983960 0.0000000 0.0412275
0.0842650 0.0000000 0.0387354
0.0711360 0.0000000 0.0361494
0.0590390 0.0000000 0.0334703
0.0480050 0.0000000 0.0306940
0.0380600 0.0000000 0.0278107
0.0292280 0.0000000 0.0248064
0.0215300 0.0000000 0.0216662
0.0149840 0.0000000 0.0183782
0.0096070 0.0000000 0.0149388
0.0054120 0.0000000 0.0113553
0.0036000 0.0000000 0.0093144
0.0024080 0.0000000 0.0076472
0.0018000 0.0000000 0.0066248
0.0012000 0.0000000 0.0054197
0.0006020 0.0000000 0.0038462
0.0003000 0.0000000 0.0027178
0.0000000 0.0000000 0.0000000
0.0003000 0.0000000 -0.0023287
0.0006020 0.0000000 -0.0032945
0.0012000 0.0000000 -0.0046394
0.0018000 0.0000000 -0.0056674
0.0024080 0.0000000 -0.0065380
0.0036000 0.0000000 -0.0079538
0.0054120 0.0000000 -0.0096795
0.0096070 0.0000000 -0.0126860
0.0149840 0.0000000 -0.0155403
0.0215300 0.0000000 -0.0182414
0.0292280 0.0000000 -0.0208027
0.0380600 0.0000000 -0.0232481
0.0480050 0.0000000 -0.0256052
0.0590390 0.0000000 -0.0278993
0.0711360 0.0000000 -0.0301489
0.0842650 0.0000000 -0.0323624
0.0983960 0.0000000 -0.0345388
0.1134950 0.0000000 -0.0366677
0.1295240 0.0000000 -0.0387331
0.1464470 0.0000000 -0.0407169
0.1642210 0.0000000 -0.0426010
0.1828030 0.0000000 -0.0443704
0.2021500 0.0000000 -0.0460130
0.2222150 0.0000000 -0.0475188
0.2429490 0.0000000 -0.0488784
0.2643020 0.0000000 -0.0500808
0.2862220 0.0000000 -0.0511116
0.3086580 0.0000000 -0.0519525
0.3315550 0.0000000 -0.0525813
0.3548580 0.0000000 -0.0529733
0.3785100 0.0000000 -0.0531032
0.4024550 0.0000000 -0.0529476
0.4266350 0.0000000 -0.0524866
0.4509910 0.0000000 -0.0517054
0.4754660 0.0000000 -0.0505943
0.5000000 0.0000000 -0.0491494
0.5245340 0.0000000 -0.0473717
0.5490090 0.0000000 -0.0452667
0.5733650 0.0000000 -0.0428449
0.5975450 0.0000000 -0.0401217
0.6214900 0.0000000 -0.0371191
0.6451420 0.0000000 -0.0338670
0.6684450 0.0000000 -0.0304035
0.6913420 0.0000000 -0.0267763
0.7137780 0.0000000 -0.0230413
0.7356980 0.0000000 -0.0192616
0.7570510 0.0000000 -0.0155041
0.7777850 0.0000000 -0.0118375
0.7978500 0.0000000 -0.0083287
0.8171970 0.0000000 -0.0050406
0.8357790 0.0000000 -0.0020300
0.8535530 0.0000000 0.0006528
0.8704760 0.0000000 0.0029641
0.8865050 0.0000000 0.0048666
0.9016040 0.0000000 0.0063307
0.9157350 0.0000000 0.0073353
0.9288640 0.0000000 0.0078703
0.9409610 0.0000000 0.0079412
0.9519950 0.0000000 0.0075722
0.9619400 0.0000000 0.0068105
0.9707720 0.0000000 0.0057276
0.9784700 0.0000000 0.0044190
0.9850160 0.0000000 0.0029995
0.9903930 0.0000000 0.0015964
0.9945880 0.0000000 0.0003381
0.9975920 0.0000000 -0.0006579
0.9993980 0.0000000 -0.0012970
1.0000000 0.0000000 -0.0015170
